Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price
Apple,2017,Dec,Spektral,"Computer vision, real-time editing",Denmark,"30,000,000.00"
Apple,2018,?,Laserlike,Machine learning,United States,?
Apple,2018,?,Silk Labs,"Artificial Intelligence, home monitoring",United States,?
Apple,2018,?,Tueo Health,Asthma monitoring,United States,?
Apple,2017,Dec,Silicon Valley Data Science,"Data science, data engineering, analytics",United States,?
Apple,2018,Jan,Buddybuild,"Continuous integration, debugging, and testing for mobile apps.",Canada,?
Apple,2018,Mar,Texture,Digital magazine subscription service,United States,?
Apple,2018,Aug,Akonia Holographics,Lenses for augmented reality glasses,United States,?
Apple,2018,Sep,Shazam,Music and Image recognition,United Kingdom,"400,000,000.00"
Apple,2018,Oct,Dialog Semiconductor (portions),Chip development,United Kingdom,"600,000,000.00"
Apple,2018,Dec,Platoon,Artist development,United Kingdom,?
Apple,2019,Feb,PullString,Speech technology,United States,?
Apple,2019,Mar,Stamplay,Backend workflow development,Italy,"5,600,000.00"
Apple,2019,Jun,Drive.ai,Autonomous vehicles,United States,?
Apple,2019,Jul,Intels smartphone modem business,Smartphone modems,United Kingdom,?
Apple,2019,Oct,IKinema,Motion capture,United Kingdom,?
Apple,2019,Dec,Spectral Edge,Low-light photography,United Kingdom,?
Apple,2020,Jan,Xnor.ai,"Edge computing, artificial intelligence",United States,"200,000,000.00"
Apple,2020,Sep,Scout FM,Podcast A.I.,United States,?
Apple,2020,Mar,Dark Sky,Weather forecasting and app,United States,?
Apple,2020,Apr,Voysis,Artificial intelligence/voice assistant,Ireland,?
Apple,2020,May,NextVR,Virtual reality events,United States,"100,000,000.00"
Apple,2020,Jun,Fleetsmith,Mobile device management,United States,?
Apple,2020,Jul,Mobeewave,Payments startup,Canada,"100,000,000.00"
Apple,2020,Aug,Camerai,AR,Israel,?
Apple,2020,Aug,Spaces,VR startup,United States,?
Apple,2021,Jan,Curious AI,Core AI startup,Finland,?
Apple,2021,Aug,Primephonic,classical music streaming service,Netherlands,?
Apple,2022,Feb,AI Music,Music production,United States,?
Apple,2022,Mar,Credit Kudos inc,Fintech,United Kingdom,?
Apple,2023,Jun,Mira Labs,Augmented reality,United States,?
Apple,2023,Sep,BIS Records,Record label,Sweden,?
Amazon,1998,Apr,Bookpages,?,United Kingdom,"55,000,000.00"
Amazon,1998,Apr,Telebook,?,Germany,"55,000,000.00"
Amazon,1998,Apr,IMDb,?,United Kingdom,"55,000,000.00"
Amazon,1998,Aug,Junglee,?,United States,"250,000,000.00"
Amazon,1998,Aug,PlanetAll,?,United States,"280,000,000.00"
Amazon,1999,Apr,LiveBid.com,?,United States,"300,000,000.00"
Amazon,1999,Apr,Accept.com,?,United States,"101,700,000.00"
Amazon,1999,Apr,Alexa Internet,?,United States,"250,000,000.00"
Amazon,1999,Apr,e-Niche Incorporated,?,United States,?
Amazon,1999,Oct,Convergence Corporation,?,United States,"23,000,000.00"
Amazon,1999,Nov,Tool Crib of the North (Online and Catalog Sales Division),?,United States,?
Amazon,1999,Nov,Back to Basics Toys,?,United States,?
Amazon,1999,Dec,Leep Technology Inc.,?,United States,?
Amazon,1999,?,MindCorps Incorporated,?,United States,?
Amazon,2001,Dec,Egghead Software,?,United States,"6,100,000.00"
Amazon,2001,Dec,OurHouse.com,?,United States,?
Amazon,2004,Aug,Joyo.com,?,China,"75,000,000.00"
Amazon,2005,Apr,BookSurge,?,United States,?
Amazon,2005,Apr,Mobipocket,?,France,?
Amazon,2005,Jul,CustomFlix,?,United States,?
Amazon,2005,?,smallparts.com,?,United States,?
Amazon,2006,Feb,Shopbop,?,United States,?
Amazon,2006,Oct,TextPayMe,?,United States,"3,000,000.00"
Amazon,2007,May,Digital Photography Review,?,United Kingdom,?
Amazon,2007,May,Brilliance Audio,?,United States,?
Amazon,2008,Jan,Withoutabox,?,United States,?
Amazon,2008,Jan,Audible,?,United States,"300,000,000.00"
Amazon,2008,Jun,Fabric.com,?,United States,?
Amazon,2008,Aug,AbeBooks,?,Canada,?
Amazon,2008,Aug,Shelfari,?,United States,?
Amazon,2008,Oct,Reflexive Entertainment,?,United States,?
Amazon,2008,Dec,Box Office Mojo,?,United States,?
Amazon,2009,Apr,Lexcycle,?,United States,?
Amazon,2009,Jun,SnapTell,?,United States,?
Amazon,2009,Nov,Zappos,?,United States,"1,200,000,000.00"
Amazon,2010,Feb,Touchco,?,United States,?
Amazon,2010,Jul,Woot,?,United States,"110,000,000.00"
Amazon,2010,Sep,Amie Street,?,United States,?
Amazon,2010,Oct,BuyVIP,?,Spain,"100,000,000.00"
Amazon,2010,Nov,Quidsi,?,United States,"545,000,000.00"
Amazon,2010,Nov,Toby Press,?,United States,?
Amazon,2011,Jan,LoveFilm,?,United Kingdom,"312,000,000.00"
Amazon,2011,Jul,The Book Depository,?,United Kingdom,?
Amazon,2011,Jul,Pushbutton,?,United Kingdom,?
Amazon,2011,Sep,Yap,?,United States,?
Amazon,2011,Sep,Double Helix Games,?,United States,?
Amazon,2012,Feb,Teachstreet,?,United States,?
Amazon,2012,Mar,Kiva Systems,?,United States,"775,000,000.00"
Amazon,2012,Apr,Evi,?,United Kingdom,"26,000,000.00"
Amazon,2012,Apr,Avalon Books,?,United States,?
Amazon,2012,Jul,UpNext,?,United States,?
Amazon,2013,Jan,IVONA Software,?,Poland,?
Amazon,2013,Mar,Goodreads,?,United States,?
Amazon,2013,May,Liquavista,?,Netherlands,?
Amazon,2013,Oct,"TenMarks Education, Inc.",?,United States,?
Amazon,2014,Apr,ComiXology,?,United States,?
Amazon,2014,May,Amiato,?,United States,?
Amazon,2014,Aug,Twitch Interactive,?,United States,"970,000,000.00"
Amazon,2014,Aug,Rooftop Media,?,United States,?
